Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
PROJ_0001,Construction,32,1526276.55,32,9.7,16,Waterfall,Senior,3,3,1.05,Planning,Moderate,0.16,0.84,2,1.9,Medium,Expert,4,Medium,0.0,0.82,Moderate,Government,0.55,2.66,0.98,Medium,0.29,6,0.8,0.0,Mid-level PM,Managed,Medium,Limited,N/A,Time & Materials,High,Extreme,First-time,Basic,Basic,Fully Colocated,Good,10,5,1.0,High
PROJ_0002,Manufacturing,2,390790.15,9,2.72,9,Kanban,Mixed,0,2,2.61,Execution,Moderate,0.42,0.79,2,2.65,High,Familiar,5,Excellent,0.0,0.76,Weak,External,0.29,2.45,0.95,Low,0.5,3,0.73,0.0,Mid-level PM,Optimizing,Low,Excellent,N/A,Cost-Plus,Low,Stable,Occasional,Advanced,Formal,Fully Remote,Poor,9,3,1.0,Low
PROJ_0003,Manufacturing,2,246674.76,6,2.04,7,Agile,Mixed,1,0,0.83,Initiation,Stable,0.55,0.89,2,1.87,Medium,Familiar,3,Excellent,0.0,1.17,Strong,Internal,0.15,5.57,0.79,High,2.71,2,0.91,0.0,Mid-level PM,Ad-hoc,Medium,Moderate,N/A,Cost-Plus,High,Stable,Regular,None,None,Hybrid,Good,5,1,1.0,Medium
PROJ_0004,IT,12,1427830.63,17,7.54,16,Scrum,Mixed,0,5,2.42,Initiation,Moderate,0.33,0.84,1,1.36,Low,Familiar,5,Medium,0.1,0.73,Moderate,Mixed,0.74,7.49,0.52,Critical,0.74,5,0.71,0.43,Certified PM,Managed,Strict,Good,Mixed,Hybrid,High,Extreme,Strategic,Formal,Basic,Hybrid,Basic,12,6,1.1,High
PROJ_0005,Construction,24,1696746.64,24,6.68,17,Hybrid,Junior,0,2,0.16,Execution,Stable,0.36,0.86,1,1.02,Critical,Expert,2,Low,0.0,0.6,Moderate,Government,0.19,1.64,0.58,Medium,0.56,6,0.83,0.0,Certified PM,Defined,Medium,Moderate,N/A,Cost-Plus,High,Moderate,Occasional,Basic,None,Partially Colocated,Basic,9,6,1.0,High
PROJ_0006,IT,13,1106456.85,18,7.11,12,Kanban,Mixed,0,5,0.68,Initiation,Moderate,0.24,0.83,2,4.47,Medium,Familiar,3,Poor,0.0,1.13,Weak,Mixed,0.12,1.41,0.33,Medium,0.53,4,0.66,0.37,Mid-level PM,Managed,High,Limited,Mixed,Time & Materials,Low,Stable,Strategic,Formal,Advanced,Hybrid,Basic,3,7,1.0,Medium
PROJ_0007,R&D,12,1122048.59,21,10.0,11,Scrum,Senior,3,5,2.76,Closure,Moderate,0.31,0.78,3,4.26,Critical,Familiar,5,Low,0.16,0.77,Moderate,Mixed,0.74,3.14,0.56,Low,0.14,7,0.77,0.0,Mid-level PM,Defined,Medium,Limited,N/A,Fixed-Price,High,High,First-time,Basic,None,Fully Colocated,Good,9,7,1.0,Critical
PROJ_0008,Healthcare,9,1208078.86,15,4.53,9,Kanban,Mixed,3,4,0.28,Closure,Moderate,0.47,0.84,2,6.67,High,New,3,High,0.0,0.78,Moderate,Mixed,0.57,7.67,0.84,High,2.52,5,0.91,0.0,Mid-level PM,Optimizing,Strict,Excellent,N/A,Time & Materials,Low,High,Strategic,Formal,Basic,Partially Colocated,Poor,11,2,1.0,Low
PROJ_0009,Construction,37,1833354.63,35,9.49,13,Waterfall,Mixed,0,4,3.61,Execution,Moderate,0.46,0.43,0,1.25,Medium,Familiar,3,Low,0.0,0.63,Weak,External,0.38,8.29,0.99,Low,3.58,1,0.81,0.0,Senior PM,Optimizing,Low,Poor,N/A,Fixed-Price,High,High,Occasional,Basic,Formal,Fully Colocated,Basic,1,5,1.0,Critical
PROJ_0010,Construction,41,2404494.18,28,5.09,18,Waterfall,Senior,2,2,0.83,Closure,Moderate,0.13,0.92,1,2.57,High,Expert,3,Medium,0.0,1.23,Moderate,Mixed,0.51,8.05,0.58,High,3.74,1,0.96,0.0,Senior PM,Ad-hoc,Medium,Moderate,N/A,Time & Materials,High,Moderate,Strategic,None,None,Fully Colocated,Basic,2,9,1.0,Medium
